geo,name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
tgo,Togo,,32.02,,28.08,,,29.36,,,28.39,37.68,38.79,43.61,40.23,41.79,,40.37,42.39,43.65
tha,Thailand,,58.85,57.84,56.36,54.76,62.17,66.64,63,62.31,69.85,62.02,60.74,59.39,60.12,60.22,58.85,56.38,60.07,62.82
tjk,Tajikistan,,46.13,44.32,50.64,45.75,43.81,42.63,44.97,49.67,48.96,51.24,51.04,58.29,54.97,54.64,53.73,52.87,51.76,53.79
tkm,Turkmenistan,,,,,65.68,,57.92,54.64,53.92,57.87,57.91,58.87,52.29,46.21,54.74,,,,
tto,Trinidad and Tobago,,58.32,,66.96,,,65.19,,61.68,,,,61.92,,,,,,
tun,Tunisia,,,,,50.25,51.31,48.76,44.64,52.46,47.64,51.32,45.21,41.24,47.41,43.15,47.31,44.99,42.61,45.05
tur,Turkey,47.19,,56.23,51.18,52.13,54.9,52.72,53.09,48.88,55.8,55.14,53.26,56.07,51.86,48.72,48.62,43.67,50.93,54.63
tza,Tanzania,,39.22,43.18,43.85,34.08,32.29,40.74,40.07,38.52,34.83,36.61,29.03,33.47,34.45,36.4,37.86,36.81,36.16,40.42
uga,Uganda,,37.34,44.56,45.69,46.12,41.93,48.26,43.09,37.1,37.7,42.38,42.33,40.01,43.22,49.48,46.41,42.25,44.25,44.67
ukr,Ukraine,,48.04,52.52,51.72,51.66,50.58,50.83,50.3,47.11,42.97,39.65,40.29,43.11,46.62,47.02,52.7,53.11,46.37,46.72
ury,Uruguay,,57.86,56.94,56.64,62.96,60.62,65.54,64.5,64.44,65.61,66.28,61.71,63.36,63.72,66,63.1,65.02,66.71,66.62
usa,USA,,71.82,75.13,72.8,71.58,71.64,71.15,70.26,72.49,71.51,68.64,68.04,69.92,68.83,69.44,70.28,69.59,66.93,65.21
uzb,Uzbekistan,,52.32,,53.11,52.61,50.95,57.39,60.19,59.4,60.49,59.72,58.93,64.21,62.05,61.54,58.42,61.85,60.16,63.85
ven,Venezuela,71.7,65.25,,62.58,71.89,74.78,65.8,70.67,65.53,61.36,55.69,40.41,50.71,50.06,50.81,45.74,51.08,59.49,57.65
vnm,Vietnam,,52.94,54.22,54.8,53.04,52.96,57.67,55.35,50.23,50.85,50.76,50.62,51.75,52.96,54.67,54.62,55.4,62.67,63.25
yem,Yemen,,,44.77,,48.09,43.5,37.46,40.61,42.18,39.68,29.83,38.26,32.54,30.58,41.97,,,35.9,35.32
zaf,South Africa,,50.84,52.04,53.46,52.18,46.52,49.31,51.34,36.61,48.28,48.87,47.7,45.14,48.84,50.35,49.47,55.99,55.81,50.76
zmb,Zambia,,48.24,39.98,47.3,52.6,,49.99,50.13,52.44,43.46,48.43,43.48,39.33,40.41,33.07,48.38,30.82,37.28,36.86
zwe,Zimbabwe,,38.26,32.8,31.74,40.56,46.82,48.46,49.55,46.9,41.84,37.03,37.35,36.38,36.16,26.94,31.6,31.55,32.96,35.72
